h_tract,LandUse,LandUseText
36005028800,01,One & Two Family Buildings
36005028900,01,One & Two Family Buildings
36005029301,01,One & Two Family Buildings
36005029302,01,One & Two Family Buildings
36005029500,01,One & Two Family Buildings
36005029600,01,One & Two Family Buildings
36005029700,01,One & Two Family Buildings
36005030000,01,One & Two Family Buildings
36005030100,01,One & Two Family Buildings
36005030201,01,One & Two Family Buildings
36005030202,03,Multi-Family Elevator Buildings
36005030701,01,One & Two Family Buildings
36005030900,01,One & Two Family Buildings
36005031000,01,One & Two Family Buildings
36005031200,01,One & Two Family Buildings
36005031400,01,One & Two Family Buildings
36005031600,01,One & Two Family Buildings
36005031800,01,One & Two Family Buildings
36005032300,01,One & Two Family Buildings
36005032400,01,One & Two Family Buildings
36005032600,01,One & Two Family Buildings
36005032800,01,One & Two Family Buildings
36005033000,01,One & Two Family Buildings
36005033201,03,Multi-Family Elevator Buildings
36005033202,02,Multi-Family Walk-Up Buildings
36005033500,01,One & Two Family Buildings
36005033601,02,Multi-Family Walk-Up Buildings
36005033602,01,One & Two Family Buildings
36005033700,01,One & Two Family Buildings
36005033801,01,One & Two Family Buildings
36005033802,02,Multi-Family Walk-Up Buildings
36005034000,01,One & Two Family Buildings
36005034200,01,One & Two Family Buildings
36005034300,01,One & Two Family Buildings
36005034400,01,One & Two Family Buildings
36005034500,01,One & Two Family Buildings
36005034800,01,One & Two Family Buildings
36005035000,01,One & Two Family Buildings
36005035100,01,One & Two Family Buildings
36005035600,01,One & Two Family Buildings
36005035800,01,One & Two Family Buildings
36005035900,02,Multi-Family Walk-Up Buildings
36005036000,01,One & Two Family Buildings
36005036100,01,One & Two Family Buildings
36005036300,02,Multi-Family Walk-Up Buildings
36005036400,01,One & Two Family Buildings
36005036501,02,Multi-Family Walk-Up Buildings
36005036502,02,Multi-Family Walk-Up Buildings
36005036700,01,One & Two Family Buildings
36005036800,01,One & Two Family Buildings
36005036901,02,Multi-Family Walk-Up Buildings
36005036902,02,Multi-Family Walk-Up Buildings
36005037000,01,One & Two Family Buildings
36005037100,01,One & Two Family Buildings
36005037200,01,One & Two Family Buildings
36005037300,01,One & Two Family Buildings
36005037400,01,One & Two Family Buildings
36005037504,02,Multi-Family Walk-Up Buildings
36005037600,01,One & Two Family Buildings
36005037800,01,One & Two Family Buildings
36005037900,01,One & Two Family Buildings
36005038000,02,Multi-Family Walk-Up Buildings
36005038100,01,One & Two Family Buildings
36005038200,01,One & Two Family Buildings
36005038301,01,One & Two Family Buildings
36005038303,02,Multi-Family Walk-Up Buildings
36005038304,02,Multi-Family Walk-Up Buildings
36005038500,01,One & Two Family Buildings
36005038600,01,One & Two Family Buildings
36005038700,02,Multi-Family Walk-Up Buildings
36005038800,01,One & Two Family Buildings
36005038900,02,Multi-Family Walk-Up Buildings
36005039000,01,One & Two Family Buildings
36005039100,02,Multi-Family Walk-Up Buildings
36005039200,01,One & Two Family Buildings
36005039300,02,Multi-Family Walk-Up Buildings
36005039400,01,One & Two Family Buildings
36005039500,01,One & Two Family Buildings
36005039600,01,One & Two Family Buildings
36005039700,01,One & Two Family Buildings
36005039800,01,One & Two Family Buildings
36005039901,02,Multi-Family Walk-Up Buildings
36005039902,02,Multi-Family Walk-Up Buildings
36005040100,04,Mixed Residential & Commercial Buildings
36005040302,02,Multi-Family Walk-Up Buildings
36005040303,01,One & Two Family Buildings
36005040304,03,Multi-Family Elevator Buildings
36005040400,01,One & Two Family Buildings
36005040501,01,One & Two Family Buildings
36005040502,01,One & Two Family Buildings
36005040600,01,One & Two Family Buildings
36005040701,04,Mixed Residential & Commercial Buildings
36005040702,01,One & Two Family Buildings
36005040800,01,One & Two Family Buildings
36005041100,02,Multi-Family Walk-Up Buildings
36005041300,02,Multi-Family Walk-Up Buildings
36005041400,01,One & Two Family Buildings
36005041500,01,One & Two Family Buildings
36005041800,01,One & Two Family Buildings
36005041900,02,Multi-Family Walk-Up Buildings
36005042000,01,One & Two Family Buildings
36005042100,03,Multi-Family Elevator Buildings
36005042200,01,One & Two Family Buildings
36005042300,01,One & Two Family Buildings
36005042400,01,One & Two Family Buildings
36005042500,01,One & Two Family Buildings
36005042600,01,One & Two Family Buildings
36005042800,01,One & Two Family Buildings
36005042901,01,One & Two Family Buildings
36005042902,01,One & Two Family Buildings
36005043000,01,One & Two Family Buildings
36005043101,03,Multi-Family Elevator Buildings
36005043102,01,One & Two Family Buildings
36005043400,01,One & Two Family Buildings
36005043501,03,Multi-Family Elevator Buildings
36005043600,01,One & Two Family Buildings
36005044200,01,One & Two Family Buildings
36005044400,01,One & Two Family Buildings
36005044800,01,One & Two Family Buildings
36005044901,01,One & Two Family Buildings
36005044902,01,One & Two Family Buildings
36005045101,01,One & Two Family Buildings
36005045102,01,One & Two Family Buildings
36005045600,01,One & Two Family Buildings
36005045800,03,Multi-Family Elevator Buildings
36005046000,01,One & Two Family Buildings
36005046206,03,Multi-Family Elevator Buildings
36005046208,01,One & Two Family Buildings
36005046209,01,One & Two Family Buildings
36005048401,01,One & Two Family Buildings
36005051601,01,One & Two Family Buildings
